,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Hour,AmountToBalanceRatio,TransactionEfficiency,Cluster
0,14.090000000000003,2023-04-11 16:29:14,Debit,San Diego,ATM,70,Doctor,81.0,1,5112.21,2024-11-04 08:08:08,16.0,0.0027556075342104053,0.17182926829268297,0
1,376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68,Doctor,141.0,1,13758.91,2024-11-04 08:09:35,16.0,0.027343202099432338,2.6495774647887322,0
2,126.28999999999999,2023-07-10 18:16:08,Debit,Mesa,Online,19,Student,56.0,1,1122.35,2024-11-04 08:07:04,18.0,0.11242266435216096,2.2156140350877194,0
3,184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26,Student,25.0,1,8569.06,2024-11-04 08:09:06,16.0,0.021528437373834024,7.096153846153845,0
4,13.449999999999989,2023-10-16 17:51:24,Credit,Atlanta,Online,26,Student,198.0,1,7429.4,2024-11-04 08:06:39,17.0,0.0018101313522825152,0.06758793969849242,0
5,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18,Student,172.0,1,781.6799999999998,2024-11-04 08:06:36,17.0,0.11773649511933358,0.5326589595375721,0
6,7.079999999999984,2023-02-15 16:36:48,Credit,Seattle,ATM,37,Doctor,139.0,1,13316.71,2024-11-04 08:10:09,16.0,0.0005316229291672525,0.05057142857142849,0
7,171.42,2023-05-08 17:47:59,Credit,Indianapolis,Branch,67,Retired,291.0,1,2796.24,2024-11-04 08:10:55,17.0,0.06128183495159514,0.5870547945205478,0
8,106.23,2023-03-21 16:59:46,Credit,Detroit,Branch,51,Engineer,86.0,1,9095.14,2024-11-04 08:11:14,16.0,0.011678580144984574,1.2210344827586208,0
9,815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,55,Doctor,120.0,1,1021.8800000000006,2024-11-04 08:06:32,16.0,0.7977084310965118,6.743471074380166,0
10,17.78,2023-03-14 16:46:10,Credit,Albuquerque,Online,52,Engineer,59.0,1,7599.52,2024-11-04 08:06:45,16.0,0.0023393136259098127,0.29633333333333334,0
11,190.02,2023-02-06 17:30:00,Debit,Memphis,Online,21,Student,173.0,1,1528.81,2024-11-04 08:07:12,17.0,0.1242115033893098,1.0920689655172415,0
12,494.52,2023-06-07 17:21:28,Credit,Mesa,Branch,24,Student,111.0,1,1620.02,2024-11-04 08:08:38,17.0,0.3050671799237517,4.415357142857142,0
13,781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26,Student,123.0,1,189.6899999999996,2024-11-04 08:07:06,16.0,4.0996381561697,6.304516129032258,1
14,166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18,Student,134.0,1,299.9300000000003,2024-11-04 08:10:09,16.0,0.5549131027149171,1.236962962962963,0
15,465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36,Engineer,129.0,1,3465.54,2024-11-04 08:12:19,16.0,0.13426932907163916,3.5803846153846153,0
16,555.8,2023-10-30 16:52:49,Credit,Austin,Branch,19,Student,158.0,1,1131.2600000000002,2024-11-04 08:07:35,16.0,0.49087665377210177,3.4955974842767294,0
